Date,Hacks,Pessimistic/Doubtful,Banks,Selling,Market_manipulation,(De-)centralisation,Angry,ETF,Leverage,Bottom,Institutional_money,FOMO,Prediction,Adoption,Fearful/Concerned,Portfolio,FUD_theme,Whitepaper,Announcements,Technical_analysis,Flippening,Community,Investing/Trading,Euphoric/Excited,Hodling,ICO,Bearish,Going_short,Uncertain,Volume,Risk,Governance,Ban,Cheap,Short_term_trading,Fork,Progress,Shilling,Bullish,Happy,Bubble,Bots,Hopeful,Bug,Open_source,Token_economics,Security,Marketing,Bad_news,Due_diligence,Team,Partnerships,Pump_and_dump,Sad,Panicking,Listing,Regulation/Politics,Dip,Launch,FOMO_theme,Advice/Support,Rebranding,Wallet,Good_news,Problems_and_issues,Mining,Waiting,Learning,Scaling,Fees,Roadmap,Recovery,Technology,Mistrustful,Marketcap,Positive,Tax,Long_term_investing,Strategy,Competition,Whales,Correction,Stablecoin,Buying,Warning,Annoyed/Frustrated,Price,Use_case/Applications,Rumor,Scam/Fraud,Airdrop,Optimistic,Negative,scores
2019-01-10,2.0,4.0,5.0,30.0,3.0,25.0,5.0,5.0,4.0,3.0,5.0,2.0,86.0,49.0,3.0,5.0,5.0,2.0,6.0,71.0,0.0,9.0,142.0,19.0,2.0,13.0,34.0,24.0,37.0,11.0,8.0,0.0,5.0,2.0,31.0,41.0,20.0,1.0,44.0,10.0,0.0,4.0,7.0,1.0,1.0,3.0,7.0,0.0,29.0,44.0,23.0,6.0,1.0,1.0,3.0,9.0,16.0,3.0,2.0,1.0,78.0,0.0,13.0,107.0,15.0,28.0,9.0,13.0,4.0,6.0,2.0,0.0,135.0,2.0,7.0,115.0,2.0,81.0,1.0,47.0,0.0,3.0,1.0,27.0,5.0,1.0,238.0,37.0,2.0,10.0,1.0,23.0,132.0,0.3509666666666667
2019-01-11,1.0,0.0,9.0,12.0,1.0,27.0,2.0,1.0,2.0,5.0,5.0,2.0,56.0,58.0,4.0,7.0,1.0,1.0,4.0,59.0,0.0,10.0,87.0,18.0,2.0,10.0,17.0,10.0,30.0,9.0,3.0,0.0,9.0,2.0,24.0,53.0,20.0,3.0,36.0,2.0,1.0,3.0,9.0,2.0,2.0,6.0,7.0,7.0,38.0,38.0,31.0,4.0,1.0,3.0,0.0,8.0,11.0,3.0,3.0,0.0,61.0,1.0,16.0,88.0,10.0,43.0,4.0,20.0,5.0,12.0,2.0,1.0,166.0,0.0,4.0,88.0,1.0,61.0,2.0,44.0,0.0,1.0,2.0,15.0,3.0,1.0,177.0,37.0,0.0,19.0,2.0,29.0,102.0,0.125
2019-01-12,0.0,3.0,5.0,15.0,3.0,18.0,1.0,2.0,2.0,2.0,0.0,1.0,43.0,43.0,3.0,7.0,2.0,1.0,5.0,33.0,0.0,6.0,66.0,18.0,3.0,8.0,6.0,4.0,21.0,12.0,2.0,0.0,7.0,1.0,11.0,35.0,6.0,1.0,28.0,8.0,0.0,1.0,7.0,1.0,5.0,2.0,6.0,2.0,20.0,20.0,19.0,5.0,0.0,0.0,0.0,17.0,9.0,3.0,3.0,0.0,55.0,0.0,11.0,79.0,15.0,25.0,7.0,10.0,4.0,3.0,2.0,0.0,123.0,0.0,0.0,66.0,0.0,53.0,0.0,28.0,2.0,0.0,0.0,13.0,5.0,0.0,142.0,22.0,0.0,7.0,1.0,14.0,81.0,-0.019000000000000003
2019-01-13,1.0,4.0,5.0,16.0,2.0,14.0,1.0,1.0,1.0,7.0,0.0,3.0,67.0,31.0,2.0,5.0,1.0,1.0,4.0,65.0,0.0,8.0,118.0,22.0,1.0,7.0,22.0,14.0,33.0,16.0,10.0,0.0,5.0,0.0,27.0,26.0,11.0,3.0,39.0,7.0,3.0,3.0,5.0,0.0,0.0,3.0,3.0,0.0,23.0,29.0,23.0,1.0,0.0,0.0,0.0,10.0,9.0,5.0,1.0,2.0,57.0,0.0,4.0,71.0,11.0,38.0,8.0,8.0,3.0,2.0,1.0,0.0,103.0,1.0,2.0,84.0,0.0,67.0,3.0,29.0,1.0,3.0,2.0,21.0,2.0,0.0,208.0,18.0,1.0,6.0,1.0,19.0,81.0,-0.12726666666666667
2019-01-14,1.0,4.0,7.0,21.0,2.0,42.0,4.0,0.0,1.0,9.0,0.0,3.0,85.0,54.0,6.0,6.0,2.0,1.0,8.0,71.0,0.0,22.0,136.0,21.0,2.0,13.0,29.0,10.0,43.0,17.0,10.0,0.0,8.0,2.0,23.0,48.0,19.0,1.0,62.0,5.0,3.0,3.0,9.0,1.0,1.0,2.0,11.0,5.0,27.0,47.0,30.0,1.0,1.0,0.0,1.0,8.0,19.0,3.0,13.0,0.0,82.0,0.0,5.0,118.0,15.0,46.0,10.0,11.0,3.0,3.0,2.0,1.0,172.0,0.0,6.0,114.0,1.0,83.0,4.0,64.0,0.0,2.0,0.0,20.0,2.0,3.0,248.0,38.0,6.0,11.0,2.0,33.0,132.0,-0.289375
2019-01-15,20.0,6.0,4.0,15.0,4.0,28.0,5.0,0.0,1.0,3.0,1.0,5.0,85.0,59.0,15.0,5.0,4.0,0.0,12.0,72.0,0.0,33.0,125.0,19.0,2.0,12.0,23.0,15.0,39.0,21.0,9.0,2.0,5.0,7.0,20.0,138.0,57.0,1.0,42.0,12.0,1.0,1.0,20.0,9.0,0.0,5.0,60.0,5.0,64.0,56.0,41.0,0.0,1.0,2.0,1.0,27.0,33.0,3.0,9.0,2.0,100.0,0.0,26.0,159.0,27.0,64.0,10.0,10.0,1.0,2.0,5.0,1.0,264.0,1.0,5.0,113.0,0.0,72.0,1.0,72.0,3.0,1.0,4.0,17.0,6.0,0.0,261.0,36.0,1.0,10.0,1.0,46.0,181.0,0.10115
2019-01-16,12.0,2.0,6.0,18.0,1.0,34.0,1.0,4.0,2.0,3.0,6.0,5.0,64.0,66.0,8.0,3.0,1.0,0.0,5.0,36.0,0.0,15.0,98.0,25.0,2.0,16.0,21.0,4.0,24.0,7.0,5.0,0.0,7.0,0.0,15.0,92.0,34.0,1.0,32.0,3.0,1.0,0.0,15.0,12.0,3.0,4.0,32.0,1.0,57.0,41.0,33.0,3.0,0.0,1.0,1.0,21.0,16.0,2.0,7.0,0.0,81.0,2.0,19.0,145.0,21.0,46.0,4.0,14.0,0.0,0.0,5.0,0.0,195.0,1.0,3.0,115.0,3.0,41.0,0.0,51.0,4.0,0.0,1.0,11.0,3.0,1.0,183.0,35.0,1.0,19.0,2.0,33.0,151.0,0.044199999999999996
2019-01-17,10.0,1.0,7.0,14.0,0.0,26.0,1.0,2.0,3.0,1.0,1.0,3.0,47.0,48.0,3.0,2.0,0.0,0.0,8.0,38.0,0.0,11.0,84.0,14.0,1.0,12.0,14.0,8.0,28.0,18.0,1.0,1.0,8.0,0.0,16.0,23.0,30.0,1.0,31.0,5.0,2.0,4.0,4.0,2.0,1.0,7.0,11.0,1.0,28.0,36.0,33.0,1.0,0.0,1.0,0.0,18.0,13.0,1.0,9.0,1.0,52.0,0.0,7.0,112.0,15.0,37.0,3.0,14.0,0.0,5.0,1.0,0.0,143.0,2.0,0.0,76.0,0.0,63.0,0.0,42.0,1.0,0.0,1.0,7.0,1.0,1.0,167.0,33.0,1.0,9.0,2.0,18.0,80.0,0.17020000000000002
2019-01-18,4.0,0.0,2.0,10.0,0.0,28.0,1.0,2.0,2.0,6.0,1.0,4.0,42.0,57.0,5.0,4.0,1.0,0.0,5.0,34.0,0.0,10.0,81.0,20.0,1.0,7.0,11.0,4.0,25.0,20.0,4.0,0.0,2.0,2.0,7.0,59.0,23.0,0.0,23.0,1.0,2.0,3.0,8.0,2.0,0.0,1.0,7.0,1.0,38.0,33.0,27.0,1.0,0.0,0.0,0.0,18.0,10.0,3.0,10.0,1.0,46.0,0.0,9.0,126.0,14.0,38.0,5.0,11.0,4.0,1.0,2.0,0.0,147.0,1.0,1.0,69.0,0.0,69.0,0.0,49.0,2.0,1.0,0.0,6.0,1.0,0.0,162.0,25.0,1.0,11.0,0.0,15.0,88.0,0.2553
2019-01-19,6.0,0.0,1.0,11.0,2.0,24.0,3.0,5.0,0.0,1.0,0.0,2.0,42.0,31.0,3.0,6.0,1.0,0.0,1.0,24.0,0.0,7.0,51.0,13.0,2.0,9.0,12.0,9.0,23.0,15.0,0.0,0.0,1.0,2.0,6.0,27.0,14.0,2.0,25.0,3.0,1.0,0.0,5.0,2.0,1.0,1.0,7.0,0.0,16.0,22.0,25.0,1.0,1.0,0.0,0.0,8.0,14.0,0.0,6.0,0.0,33.0,1.0,3.0,62.0,6.0,28.0,5.0,8.0,6.0,1.0,1.0,0.0,110.0,0.0,2.0,53.0,0.0,56.0,0.0,28.0,1.0,0.0,1.0,9.0,2.0,0.0,137.0,21.0,0.0,6.0,1.0,16.0,60.0,-0.22593333333333332
